date,stockcode,operatetype,referencenum,referenceprice
2000-10-26,sh600055,buy,8161,8.1904627588578105
2000-10-26,sh600102,buy,1607,13.74597713307414
2000-10-26,sh600226,buy,13746,2.5597127503922805
2000-10-26,sh600621,buy,5380,7.1132148034344373
2000-10-26,sh600847,buy,2240,13.343905321329832
2000-10-26,sz000562,buy,6083,5.706454273939535
2000-10-27,sh600074,buy,14538,2.3093121537323125
2000-10-27,sh600860,buy,3475,7.0988135846028682
2000-10-27,sz000662,buy,4105,6.1383888152394297
2000-10-30,sh600746,buy,2350,12.563238975823555
2000-10-30,sz000589,buy,8761,3.8108185553391847
2000-10-31,sh600216,buy,11845,3.8673001948369823
2000-10-31,sh600667,buy,13635,2.9226259457158945
2000-10-31,sz000410,buy,8214,4.3538257681843637
2000-10-31,sz000532,buy,1850,9.1973292990994171
2000-10-31,sz000678,buy,5359,6.5514602912769382
2000-11-01,sz000020,buy,1365,19.321733789364202
2000-11-01,sz000913,buy,8447,5.4081330551680367
2000-11-02,sh600105,buy,13813,3.4147165979144893
2000-11-02,sh600129,buy,3618,7.7789434697735018
2000-11-02,sh600220,buy,15618,3.5862909861883194
2000-11-02,sz000065,buy,5920,4.8477507205348545
2000-11-02,sz000893,buy,5947,5.1277951387150456
2000-11-03,sh600776,buy,4420,9.6853169351641331
2000-11-03,sz000596,buy,4037,8.703578403009681
2000-11-03,sz000925,buy,2244,15.8785875462767
2000-11-06,sz000007,buy,2443,9.6714948535676601
2000-11-06,sz000602,buy,3474,6.3278078993558857
2000-11-06,sz000686,buy,20903,1.9496350279399075
2000-11-06,sz000922,buy,7033,7.4571512805133864
2000-11-07,sz000028,buy,3467,16.689549640833921
2000-11-07,sz000565,buy,7390,4.0920178504912643
2000-11-07,sz000695,buy,3349,11.339339528150445
2000-11-07,sz000760,buy,10064,3.4709247598519806
2000-11-07,sz000822,buy,4678,5.7091373802841705
2000-11-08,sz000807,buy,25185,1.6243151702689735
2000-11-08,sz000826,buy,11407,2.9540869971459442
2000-11-08,sz000554,sell,-2945,7.4822196869344744
2000-11-09,sh600139,buy,7266,3.8642644550603928
2000-11-09,sz000010,buy,9708,3.5524802877108592
2000-11-09,sz000622,buy,5964,4.7904235566878111
2000-11-10,sh600136,buy,2809,9.8118320220547428
2000-11-10,sh600167,buy,4091,10.56710072150457
2000-11-10,sh600207,buy,2583,15.845374841909727
2000-11-10,sh600616,buy,12478,3.0807561637190237
2000-11-10,sh600692,buy,6235,4.383852126075694
2000-11-10,sh600702,buy,3994,9.1288175252421766
2000-11-10,sh600720,buy,9358,3.8819551533874104
2000-11-10,sh600825,buy,10409,4.1552196000833463
